worst,averge,best
6.0,11.7,18.0
5.0,12.66,18.0
8.0,13.73,18.0
8.0,14.2,18.0
8.0,14.72,18.0
10.0,15.06,18.0
10.0,15.44,18.0
11.0,16.09,18.0
10.0,16.46,18.0
12.0,16.56,19.0
12.0,16.81,20.0
12.0,17.02,20.0
10.0,17.24,20.0
12.0,17.31,20.0
10.0,17.51,20.0
11.0,17.73,20.0
8.0,17.68,20.0
13.0,17.95,20.0
13.0,18.28,21.0
14.0,18.41,21.0
13.0,18.43,21.0
12.0,18.64,21.0
14.0,18.85,21.0
16.0,19.22,22.0
16.0,19.63,22.0
15.0,19.64,22.0
15.0,19.92,22.0
16.0,20.19,22.0
14.0,20.16,22.0
16.0,20.39,22.0
16.0,20.38,22.0
15.0,20.41,22.0
14.0,20.43,23.0
15.0,20.49,23.0
16.0,20.45,23.0
17.0,21.04,23.0
16.0,21.05,23.0
16.0,21.08,23.0
12.0,20.98,23.0
16.0,21.07,23.0
14.0,21.1,23.0
15.0,21.61,23.0
17.0,21.53,23.0
16.0,21.7,24.0
17.0,21.91,24.0
16.0,21.99,24.0
15.0,21.81,23.0
15.0,21.62,23.0
15.0,21.83,24.0
16.0,21.47,24.0
15.0,21.42,23.0
17.0,21.46,23.0
15.0,21.63,24.0
13.0,21.52,24.0
16.0,21.63,24.0
15.0,21.58,24.0
17.0,21.8,24.0
14.0,21.75,23.0
17.0,21.82,23.0
14.0,21.75,24.0
15.0,21.85,24.0
15.0,21.83,24.0
14.0,21.86,24.0
16.0,21.89,24.0
13.0,21.4,24.0
14.0,21.66,24.0
18.0,22.0,24.0
14.0,21.87,24.0
13.0,21.88,25.0
14.0,21.76,25.0
15.0,22.04,25.0
17.0,22.26,25.0
17.0,22.36,25.0
12.0,21.89,24.0
17.0,21.95,24.0
15.0,22.45,24.0
17.0,22.18,24.0
15.0,22.23,24.0
15.0,22.32,24.0
14.0,22.24,24.0
15.0,22.38,24.0
12.0,22.34,24.0
18.0,22.23,24.0
17.0,22.27,24.0
14.0,22.33,24.0
14.0,22.23,24.0
15.0,22.1,24.0
15.0,22.4,24.0
15.0,22.31,24.0
15.0,22.22,24.0
13.0,22.3,24.0
16.0,22.57,24.0
12.0,22.26,24.0
11.0,22.1,24.0
17.0,22.35,24.0
16.0,22.53,24.0
14.0,22.48,24.0
17.0,22.44,24.0
18.0,22.73,24.0
17.0,22.76,24.0
9.0,22.51,24.0
12.0,22.38,24.0
16.0,22.44,24.0
15.0,22.36,24.0
14.0,22.43,24.0
16.0,22.04,24.0
15.0,22.24,24.0
15.0,21.86,24.0
16.0,22.27,24.0
16.0,22.39,24.0
15.0,22.45,24.0
15.0,22.41,24.0
15.0,22.47,24.0
15.0,22.37,24.0
15.0,22.23,24.0
13.0,22.44,24.0
16.0,22.43,24.0
16.0,22.53,24.0
16.0,22.03,24.0
15.0,22.27,24.0
16.0,22.35,24.0
16.0,22.15,24.0
12.0,22.02,24.0
16.0,22.52,24.0
14.0,22.13,24.0
17.0,22.31,24.0
18.0,22.65,24.0
16.0,22.38,25.0
15.0,22.39,25.0
14.0,22.53,25.0
15.0,22.66,24.0
18.0,22.58,24.0
16.0,22.66,24.0
16.0,22.57,25.0
16.0,22.37,24.0
17.0,22.43,24.0
13.0,22.21,24.0
15.0,22.43,25.0
16.0,22.48,24.0
15.0,22.74,25.0
16.0,22.48,24.0
14.0,22.44,24.0
15.0,22.23,24.0
16.0,22.44,24.0
15.0,22.47,24.0
17.0,22.7,24.0
18.0,22.72,24.0
14.0,22.38,25.0
17.0,22.46,24.0
13.0,22.34,24.0
16.0,22.43,25.0
16.0,22.84,25.0
16.0,22.79,25.0
16.0,22.68,25.0
16.0,22.34,25.0
15.0,22.03,25.0
17.0,22.32,25.0
17.0,22.77,25.0
14.0,22.34,25.0
15.0,22.38,25.0
15.0,22.58,25.0
16.0,22.54,25.0
17.0,22.54,25.0
17.0,22.48,25.0
14.0,22.72,25.0
16.0,22.56,25.0
14.0,22.53,25.0
16.0,22.92,25.0
15.0,22.83,25.0
16.0,22.69,25.0
16.0,22.74,25.0
16.0,22.85,25.0
16.0,22.82,25.0
17.0,22.6,25.0
14.0,22.57,25.0
16.0,22.44,25.0
16.0,22.62,25.0
16.0,23.08,25.0
14.0,22.72,25.0
17.0,23.1,25.0
16.0,22.99,25.0
14.0,22.95,25.0
16.0,22.44,25.0
